Species_Name
Great Blue Heron

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
PRSJ,San Juan Bay Estuary,18.4300,-66.0348,82,3.0370,,
MXPP,"Puerto Penasco, Sonora, Mexico",31.3501,-113.5167,64,1.7534,,
PRCR,Cabo Rojo,18.0133,-67.1176,41,0.5795,,
VISC,"St. Croix, USVI",17.7168,-64.7833,26,1.9259,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,26,0.1635,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,20,0.3361,,
BLBC,"Belize City, Belize",17.6052,-88.3889,19,0.3654,,
VISJ,"St. John, USVI",18.3502,-64.7000,9,0.1698,,
MXSC,"San Carlos, Sonora, Mexico",28.0389,-110.9377,7,0.5385,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,7,0.0574,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,4,0.0635,,
MX07,"Bahia Kino, Sonora, Mexico",28.8333,-111.9000,4,0.3556,,
RDSD,"Santo Domingo, Dominican Republic",18.3500,-70.2500,2,0.0208,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,1,0.0156,,

